Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Afghanistan,AFG,39.2,..,..,..,..,34.2,..,32.5,..,..,30.2,..,..,..,..,26.6,..,..,..,..,23.7,23.2,22.7,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Albania,ALB,35.4,..,..,..,..,31.6,..,30.2,..,..,28.3,..,..,..,..,25.4,..,..,..,..,22.9,22.4,21.9,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Algeria,DZA,22.9,..,..,..,..,22.3,..,22.2,..,..,21.7,..,..,..,..,21.3,..,..,..,..,21.2,21.2,21.2,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Andorra,AND,36,..,..,..,..,35.8,..,35.7,..,..,35.7,..,..,..,..,35.8,..,..,..,..,36,36.1,36.3,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Angola,AGO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Argentina,ARG,34.3,..,..,..,..,31.5,..,30.5,..,..,29,..,..,..,..,26.6,..,..,..,..,24.6,24.2,23.8,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Armenia,ARM,32.6,..,..,..,..,30.8,..,30,..,..,28.8,..,..,..,..,27.2,..,..,..,..,25.8,25.3,24.9,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Australia,AUS,24.5,..,..,..,..,21.2,..,20,..,..,18.4,..,..,..,..,15.9,..,..,..,..,13.7,13.4,13.1,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Austria,AUT,52.5,..,..,..,..,44.4,..,41.3,..,..,37.2,..,..,..,..,31.5,..,..,..,..,26.6,25.7,24.9,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Azerbaijan,AZE,28.8,..,..,..,..,26.1,..,25.2,..,..,24,..,..,..,..,22,..,..,..,..,20.2,19.9,19.6,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,"Bahamas, The",BHS,12.1,..,..,..,..,11.7,..,11.6,..,..,11.5,..,..,..,..,11.4,..,..,..,..,11.3,11.3,11.3,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Bahrain,BHR,22,..,..,..,..,20,..,19.4,..,..,18.3,..,..,..,..,16.8,..,..,..,..,15.4,15.2,15,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Bangladesh,BGD,58.1,..,..,..,..,50.7,..,48,..,..,44.2,..,..,..,..,38.9,..,..,..,..,34.4,33.8,32.9,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Barbados,BRB,9.5,..,..,..,..,8.8,..,8.5,..,..,8.1,..,..,..,..,7.6,..,..,..,..,7.1,7,7,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Belarus,BLR,42.8,..,..,..,..,39.5,..,38.2,..,..,36.4,..,..,..,..,33.4,..,..,..,..,31.1,30.6,30.1,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Belgium,BEL,30.9,..,..,..,..,29.9,..,29.4,..,..,29,..,..,..,..,28,..,..,..,..,27.2,27,26.7,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Belize,BLZ,13.7,..,..,..,..,12.3,..,11.8,..,..,11,..,..,..,..,10,..,..,..,..,9.1,8.9,8.8,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Benin,BEN,17.6,..,..,..,..,13.8,..,12.6,..,..,10.9,..,..,..,..,8.6,..,..,..,..,6.9,6.6,6.3,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Bhutan,BTN,32.9,..,..,..,..,28.4,..,26.9,..,..,24.9,..,..,..,..,21.9,..,..,..,..,19.6,19.1,18.7,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Bolivia,BOL,35.1,..,..,..,..,26.6,..,23.9,..,..,20.7,..,..,..,..,16.4,..,..,..,..,13.4,12.8,12.4,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Bosnia and Herzegovina,BIH,47,..,..,..,..,43.7,..,42.7,..,..,41.1,..,..,..,..,38.8,..,..,..,..,36.8,36.4,36.2,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Botswana,BWA,35.1,..,..,..,..,29.4,..,27.7,..,..,25.4,..,..,..,..,22.1,..,..,..,..,19.6,19.1,18.7,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Brazil,BRA,23.8,..,..,..,..,20.3,..,19,..,..,17.4,..,..,..,..,14.9,..,..,..,..,12.9,12.5,12.2,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Brunei Darussalam,BRN,17.2,..,..,..,..,16.8,..,16.7,..,..,16.5,..,..,..,..,16.4,..,..,..,..,16.4,16.4,16.4,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Bulgaria,BGR,47.4,..,..,..,..,44.9,..,44.2,..,..,43,..,..,..,..,41.4,..,..,..,..,40,39.8,39.5,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Burkina Faso,BFA,30.7,..,..,..,..,25.2,..,23.4,..,..,20.9,..,..,..,..,17.6,..,..,..,..,15.1,14.7,14.3,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Burundi,BDI,26.3,..,..,..,..,21.1,..,19.5,..,..,17.3,..,..,..,..,14.3,..,..,..,..,12,11.6,11.2,..,..
